depmap_column_name	gene_symbol	ncbi_entrez_id
CHTF8 (54921)	CHTF8	54921
CHTOP (26097)	CHTOP	26097
CHUK (1147)	CHUK	1147
CHURC1 (91612)	CHURC1	91612
CIAO1 (9391)	CIAO1	9391
CIAO2A (84191)	CIAO2A	84191
CIAO2B (51647)	CIAO2B	51647
CIAO3 (64428)	CIAO3	64428
CIAPIN1 (57019)	CIAPIN1	57019
CIART (148523)	CIART	148523
CIB1 (10519)	CIB1	10519
CIB2 (10518)	CIB2	10518
CIB3 (117286)	CIB3	117286
CIB4 (130106)	CIB4	130106
CIBAR1 (137392)	CIBAR1	137392
CIBAR2 (339145)	CIBAR2	339145
CIC (23152)	CIC	23152
CIDEA (1149)	CIDEA	1149
CIDEB (27141)	CIDEB	27141
CIDEC (63924)	CIDEC	63924
CIITA (4261)	CIITA	4261
CILK1 (22858)	CILK1	22858
CILP (8483)	CILP	8483
CILP2 (148113)	CILP2	148113
CINP (51550)	CINP	51550
CIP2A (57650)	CIP2A	57650
CIPC (85457)	CIPC	85457
CIR1 (9541)	CIR1	9541
CIRBP (1153)	CIRBP	1153
CISD2 (493856)	CISD2	493856
CISD3 (284106)	CISD3	284106
CISH (1154)	CISH	1154
CIT (11113)	CIT	11113
CITED1 (4435)	CITED1	4435
CITED2 (10370)	CITED2	10370
CITED4 (163732)	CITED4	163732
CIZ1 (25792)	CIZ1	25792
CKAP2 (26586)	CKAP2	26586
CKAP2L (150468)	CKAP2L	150468
CKAP4 (10970)	CKAP4	10970
CKAP5 (9793)	CKAP5	9793
CKB (1152)	CKB	1152
CKLF (51192)	CKLF	51192
CKM (1158)	CKM	1158
CKMT2 (1160)	CKMT2	1160
CKS2 (1164)	CKS2	1164
CLASRP (11129)	CLASRP	11129
CLBA1 (122616)	CLBA1	122616
CLC (1178)	CLC	1178
CLCA1 (1179)	CLCA1	1179
CLCA2 (9635)	CLCA2	9635
CLCA4 (22802)	CLCA4	22802
CLCC1 (23155)	CLCC1	23155
CLCF1 (23529)	CLCF1	23529
CLCN1 (1180)	CLCN1	1180
CLCN2 (1181)	CLCN2	1181
CLCN3 (1182)	CLCN3	1182
CLCN4 (1183)	CLCN4	1183
CLCN5 (1184)	CLCN5	1184
CLCN6 (1185)	CLCN6	1185
CLCN7 (1186)	CLCN7	1186
CLCNKA (1187)	CLCNKA	1187
CLCNKB (1188)	CLCNKB	1188
CLDN1 (9076)	CLDN1	9076
CLDN10 (9071)	CLDN10	9071
CLDN11 (5010)	CLDN11	5010
CLDN12 (9069)	CLDN12	9069
CLDN14 (23562)	CLDN14	23562
CLDN15 (24146)	CLDN15	24146
CLDN16 (10686)	CLDN16	10686
CLDN17 (26285)	CLDN17	26285
CLDN18 (51208)	CLDN18	51208
CLDN19 (149461)	CLDN19	149461
CLDN2 (9075)	CLDN2	9075
CLDN20 (49861)	CLDN20	49861
CLDN22 (53842)	CLDN22	53842
CLDN23 (137075)	CLDN23	137075
CLDN25 (644672)	CLDN25	644672
CLDN3 (1365)	CLDN3	1365
CLDN4 (1364)	CLDN4	1364
CLDN5 (7122)	CLDN5	7122
CLDN6 (9074)	CLDN6	9074
CLDN7 (1366)	CLDN7	1366
CLDN8 (9073)	CLDN8	9073
CLDN9 (9080)	CLDN9	9080
CLDND1 (56650)	CLDND1	56650
CLDND2 (125875)	CLDND2	125875
CLEC10A (10462)	CLEC10A	10462
CLEC11A (6320)	CLEC11A	6320
CLEC12A (160364)	CLEC12A	160364
CLEC12B (387837)	CLEC12B	387837
CLEC14A (161198)	CLEC14A	161198
CLEC16A (23274)	CLEC16A	23274
CLEC17A (388512)	CLEC17A	388512
CLEC1A (51267)	CLEC1A	51267
CLEC1B (51266)	CLEC1B	51266
CLEC2A (387836)	CLEC2A	387836
CLEC2B (9976)	CLEC2B	9976
CLEC2D (29121)	CLEC2D	29121
CLEC2L (154790)	CLEC2L	154790
CLEC3A (10143)	CLEC3A	10143
CLEC3B (7123)	CLEC3B	7123
CLEC4A (50856)	CLEC4A	50856
CLEC4C (170482)	CLEC4C	170482
CLEC4D (338339)	CLEC4D	338339
CLEC4E (26253)	CLEC4E	26253
CLEC4F (165530)	CLEC4F	165530
CLEC4G (339390)	CLEC4G	339390
CLEC4M (10332)	CLEC4M	10332
CLEC5A (23601)	CLEC5A	23601
CLEC6A (93978)	CLEC6A	93978
CLEC7A (64581)	CLEC7A	64581
CLEC9A (283420)	CLEC9A	283420
CLECL1 (160365)	CLECL1	160365
CLGN (1047)	CLGN	1047
CLHC1 (130162)	CLHC1	130162
CLIC1 (1192)	CLIC1	1192
CLIC2 (1193)	CLIC2	1193
CLIC3 (9022)	CLIC3	9022
CLIC4 (25932)	CLIC4	25932
CLIC5 (53405)	CLIC5	53405
CLIC6 (54102)	CLIC6	54102
CLINT1 (9685)	CLINT1	9685
CLIP1 (6249)	CLIP1	6249
CLIP2 (7461)	CLIP2	7461
CLIP3 (25999)	CLIP3	25999
CLIP4 (79745)	CLIP4	79745
CLK1 (1195)	CLK1	1195
CLK2 (1196)	CLK2	1196
CLK3 (1198)	CLK3	1198
CLK4 (57396)	CLK4	57396
CLLU1-AS1 (574016)	CLLU1-AS1	574016
CLMN (79789)	CLMN	79789
CLMP (79827)	CLMP	79827
CLN3 (1201)	CLN3	1201
CLN5 (1203)	CLN5	1203
CLN6 (54982)	CLN6	54982
CLN8 (2055)	CLN8	2055
CLNK (116449)	CLNK	116449
CLNS1A (1207)	CLNS1A	1207
CLOCK (9575)	CLOCK	9575
CLP1 (10978)	CLP1	10978
CLPB (81570)	CLPB	81570
CLPP (8192)	CLPP	8192
CLPS (1208)	CLPS	1208
CLPSL1 (340204)	CLPSL1	340204
CLPSL2 (389383)	CLPSL2	389383
CLPTM1 (1209)	CLPTM1	1209
CLPTM1L (81037)	CLPTM1L	81037
CLPX (10845)	CLPX	10845
CLRN1 (7401)	CLRN1	7401
CLRN2 (645104)	CLRN2	645104
CLRN3 (119467)	CLRN3	119467
CLSPN (63967)	CLSPN	63967
CLSTN1 (22883)	CLSTN1	22883
CLSTN2 (64084)	CLSTN2	64084
CLSTN3 (9746)	CLSTN3	9746
CLTA (1211)	CLTA	1211
CLTB (1212)	CLTB	1212
CLTC (1213)	CLTC	1213
CLTCL1 (8218)	CLTCL1	8218
CLTRN (57393)	CLTRN	57393
CLU (1191)	CLU	1191
CLUAP1 (23059)	CLUAP1	23059
CLUH (23277)	CLUH	23277
CLUL1 (27098)	CLUL1	27098
CLVS1 (157807)	CLVS1	157807
CLVS2 (134829)	CLVS2	134829
CLYBL (171425)	CLYBL	171425
CMA1 (1215)	CMA1	1215
CMAS (55907)	CMAS	55907
CMBL (134147)	CMBL	134147
CMC1 (152100)	CMC1	152100
CMC2 (56942)	CMC2	56942
CMC4 (100272147)	CMC4	100272147
CMIP (80790)	CMIP	80790
CMKLR1 (1240)	CMKLR1	1240
CMKLR2 (2825)	CMKLR2	2825
CMPK1 (51727)	CMPK1	51727
CMPK2 (129607)	CMPK2	129607
CMSS1 (84319)	CMSS1	84319
CMTM2 (146225)	CMTM2	146225
CMTM3 (123920)	CMTM3	123920
CMTM4 (146223)	CMTM4	146223
CMTM5 (116173)	CMTM5	116173
CMTM6 (54918)	CMTM6	54918
CMTM7 (112616)	CMTM7	112616
CMTM8 (152189)	CMTM8	152189
CMTR1 (23070)	CMTR1	23070
CMTR2 (55783)	CMTR2	55783
CMYA5 (202333)	CMYA5	202333
CNBD1 (168975)	CNBD1	168975
CNBD2 (140894)	CNBD2	140894
CNBP (7555)	CNBP	7555
CNDP1 (84735)	CNDP1	84735
CNDP2 (55748)	CNDP2	55748
CNEP1R1 (255919)	CNEP1R1	255919
CNFN (84518)	CNFN	84518
CNGA1 (1259)	CNGA1	1259
CNGA2 (1260)	CNGA2	1260
CNGA3 (1261)	CNGA3	1261
CNGA4 (1262)	CNGA4	1262
CNGB1 (1258)	CNGB1	1258
CNGB3 (54714)	CNGB3	54714
CNIH1 (10175)	CNIH1	10175
CNIH2 (254263)	CNIH2	254263
CNIH3 (149111)	CNIH3	149111
CNIH4 (29097)	CNIH4	29097
CNKSR1 (10256)	CNKSR1	10256
CNKSR2 (22866)	CNKSR2	22866
CNKSR3 (154043)	CNKSR3	154043
CNMD (11061)	CNMD	11061
CNN1 (1264)	CNN1	1264
CNN2 (1265)	CNN2	1265
CNN3 (1266)	CNN3	1266
CNNM1 (26507)	CNNM1	26507
CNNM2 (54805)	CNNM2	54805
CNNM3 (26505)	CNNM3	26505
CNNM4 (26504)	CNNM4	26504
CNOT1 (23019)	CNOT1	23019
CNOT10 (25904)	CNOT10	25904
CNOT11 (55571)	CNOT11	55571
CNOT2 (4848)	CNOT2	4848
CNOT3 (4849)	CNOT3	4849
CNOT4 (4850)	CNOT4	4850
CNOT6 (57472)	CNOT6	57472
CNOT6L (246175)	CNOT6L	246175
CNOT7 (29883)	CNOT7	29883
CNOT8 (9337)	CNOT8	9337
CNOT9 (9125)	CNOT9	9125
CNP (1267)	CNP	1267
CNPPD1 (27013)	CNPPD1	27013
CNPY1 (285888)	CNPY1	285888
CNPY2 (10330)	CNPY2	10330
CNPY3 (10695)	CNPY3	10695
CNPY4 (245812)	CNPY4	245812
CNR1 (1268)	CNR1	1268
CNR2 (1269)	CNR2	1269
CNRIP1 (25927)	CNRIP1	25927
CNST (163882)	CNST	163882
CNTD1 (124817)	CNTD1	124817
CNTF (1270)	CNTF	1270
CNTFR (1271)	CNTFR	1271
CNTLN (54875)	CNTLN	54875
CNTN1 (1272)	CNTN1	1272
CNTN2 (6900)	CNTN2	6900
CNTN3 (5067)	CNTN3	5067
CNTN4 (152330)	CNTN4	152330
CNTN5 (53942)	CNTN5	53942
CNTN6 (27255)	CNTN6	27255
CNTNAP1 (8506)	CNTNAP1	8506
CNTNAP2 (26047)	CNTNAP2	26047
CNTNAP3 (79937)	CNTNAP3	79937
CNTNAP3B (728577)	CNTNAP3B	728577
CNTNAP4 (85445)	CNTNAP4	85445
CNTNAP5 (129684)	CNTNAP5	129684
CNTRL (11064)	CNTRL	11064
CNTROB (116840)	CNTROB	116840
COA1 (55744)	COA1	55744
COA3 (28958)	COA3	28958
COA4 (51287)	COA4	51287
COA5 (493753)	COA5	493753
COA6 (388753)	COA6	388753
COA7 (65260)	COA7	65260
COA8 (84334)	COA8	84334
COASY (80347)	COASY	80347
COBL (23242)	COBL	23242
COBLL1 (22837)	COBLL1	22837
COCH (1690)	COCH	1690
COG1 (9382)	COG1	9382
COG2 (22796)	COG2	22796
COG3 (83548)	COG3	83548
COG4 (25839)	COG4	25839
COG5 (10466)	COG5	10466
COG6 (57511)	COG6	57511
COG7 (91949)	COG7	91949
COG8 (84342)	COG8	84342
COIL (8161)	COIL	8161
COL10A1 (1300)	COL10A1	1300
COL11A1 (1301)	COL11A1	1301
COL11A2 (1302)	COL11A2	1302
COL12A1 (1303)	COL12A1	1303
COL13A1 (1305)	COL13A1	1305
COL14A1 (7373)	COL14A1	7373
COL15A1 (1306)	COL15A1	1306
COL16A1 (1307)	COL16A1	1307
COL17A1 (1308)	COL17A1	1308
COL18A1 (80781)	COL18A1	80781
COL19A1 (1310)	COL19A1	1310
COL1A1 (1277)	COL1A1	1277
COL1A2 (1278)	COL1A2	1278
COL20A1 (57642)	COL20A1	57642
COL21A1 (81578)	COL21A1	81578
COL22A1 (169044)	COL22A1	169044
COL23A1 (91522)	COL23A1	91522
COL24A1 (255631)	COL24A1	255631
COL25A1 (84570)	COL25A1	84570
COL27A1 (85301)	COL27A1	85301
COL28A1 (340267)	COL28A1	340267
COL2A1 (1280)	COL2A1	1280
COL3A1 (1281)	COL3A1	1281
COL4A1 (1282)	COL4A1	1282
COL4A2 (1284)	COL4A2	1284
COL4A3 (1285)	COL4A3	1285
COL4A4 (1286)	COL4A4	1286
COL4A5 (1287)	COL4A5	1287
COL4A6 (1288)	COL4A6	1288
COL5A1 (1289)	COL5A1	1289
COL5A2 (1290)	COL5A2	1290
COL5A3 (50509)	COL5A3	50509
COL6A1 (1291)	COL6A1	1291
COL6A2 (1292)	COL6A2	1292
COL6A3 (1293)	COL6A3	1293
COL6A6 (131873)	COL6A6	131873
COL7A1 (1294)	COL7A1	1294
COL8A1 (1295)	COL8A1	1295
COL8A2 (1296)	COL8A2	1296
COL9A1 (1297)	COL9A1	1297
COL9A2 (1298)	COL9A2	1298
COL9A3 (1299)	COL9A3	1299
COLCA2 (120376)	COLCA2	120376
COLEC10 (10584)	COLEC10	10584
COLEC11 (78989)	COLEC11	78989
COLEC12 (81035)	COLEC12	81035
COLGALT1 (79709)	COLGALT1	79709
COLGALT2 (23127)	COLGALT2	23127
COLQ (8292)	COLQ	8292
COMMD1 (150684)	COMMD1	150684
COMMD10 (51397)	COMMD10	51397
COMMD2 (51122)	COMMD2	51122
COMMD3 (23412)	COMMD3	23412
COMMD4 (54939)	COMMD4	54939
COMMD5 (28991)	COMMD5	28991
COMMD6 (170622)	COMMD6	170622
COMMD7 (149951)	COMMD7	149951
COMMD8 (54951)	COMMD8	54951
COMMD9 (29099)	COMMD9	29099
COMP (1311)	COMP	1311
COMT (1312)	COMT	1312
COMTD1 (118881)	COMTD1	118881
COP1 (64326)	COP1	64326
COPA (1314)	COPA	1314
COPB1 (1315)	COPB1	1315
COPB2 (9276)	COPB2	9276
COPE (11316)	COPE	11316
COPG1 (22820)	COPG1	22820
COPRS (55352)	COPRS	55352
COPS2 (9318)	COPS2	9318
COPS3 (8533)	COPS3	8533
COPS4 (51138)	COPS4	51138
COPS5 (10987)	COPS5	10987
COPS6 (10980)	COPS6	10980
COPS7A (50813)	COPS7A	50813
COPS7B (64708)	COPS7B	64708
COPS8 (10920)	COPS8	10920
COPS9 (150678)	COPS9	150678
COPZ1 (22818)	COPZ1	22818
COQ10A (93058)	COQ10A	93058
COQ10B (80219)	COQ10B	80219
COQ2 (27235)	COQ2	27235
COQ3 (51805)	COQ3	51805
COQ4 (51117)	COQ4	51117
COQ5 (84274)	COQ5	84274
COQ6 (51004)	COQ6	51004
COQ7 (10229)	COQ7	10229
COQ8A (56997)	COQ8A	56997
COQ8B (79934)	COQ8B	79934
COQ9 (57017)	COQ9	57017
CORIN (10699)	CORIN	10699
CORO1A (11151)	CORO1A	11151
CORO1B (57175)	CORO1B	57175
CORO1C (23603)	CORO1C	23603
CORO2A (7464)	CORO2A	7464
CORO2B (10391)	CORO2B	10391
CORO6 (84940)	CORO6	84940
CORO7 (79585)	CORO7	79585
CORT (1325)	CORT	1325
COTL1 (23406)	COTL1	23406
COX10 (1352)	COX10	1352
COX11 (1353)	COX11	1353
COX14 (84987)	COX14	84987
COX15 (1355)	COX15	1355
COX16 (51241)	COX16	51241
COX17 (10063)	COX17	10063
COX18 (285521)	COX18	285521
COX19 (90639)	COX19	90639
COX20 (116228)	COX20	116228
COX4I1 (1327)	COX4I1	1327
COX4I2 (84701)	COX4I2	84701
COX5A (9377)	COX5A	9377
COX5B (1329)	COX5B	1329
COX6A1 (1337)	COX6A1	1337
COX6A2 (1339)	COX6A2	1339
COX6B1 (1340)	COX6B1	1340
COX6B2 (125965)	COX6B2	125965
COX6C (1345)	COX6C	1345
COX7A1 (1346)	COX7A1	1346
COX7A2 (1347)	COX7A2	1347
COX7A2L (9167)	COX7A2L	9167
COX7B (1349)	COX7B	1349
COX7B2 (170712)	COX7B2	170712
COX7C (1350)	COX7C	1350
COX8A (1351)	COX8A	1351
COX8C (341947)	COX8C	341947
CP (1356)	CP	1356
CPA1 (1357)	CPA1	1357
CPA2 (1358)	CPA2	1358
CPA3 (1359)	CPA3	1359
CPA4 (51200)	CPA4	51200
CPA5 (93979)	CPA5	93979
CPA6 (57094)	CPA6	57094
CPAMD8 (27151)	CPAMD8	27151
CPB1 (1360)	CPB1	1360
CPB2 (1361)	CPB2	1361
CPD (1362)	CPD	1362
CPE (1363)	CPE	1363
CPEB1 (64506)	CPEB1	64506
CPEB2 (132864)	CPEB2	132864
CPEB3 (22849)	CPEB3	22849
CPEB4 (80315)	CPEB4	80315
CPED1 (79974)	CPED1	79974
CPLANE1 (65250)	CPLANE1	65250
CPLANE2 (79363)	CPLANE2	79363
CPLX1 (10815)	CPLX1	10815
CPLX2 (10814)	CPLX2	10814
CPLX3 (594855)	CPLX3	594855
CPLX4 (339302)	CPLX4	339302
CPM (1368)	CPM	1368
CPN1 (1369)	CPN1	1369
CPN2 (1370)	CPN2	1370
CPNE1 (8904)	CPNE1	8904
CPNE2 (221184)	CPNE2	221184
CPNE3 (8895)	CPNE3	8895
CPNE4 (131034)	CPNE4	131034
CPNE5 (57699)	CPNE5	57699
CPNE6 (9362)	CPNE6	9362
CPNE7 (27132)	CPNE7	27132
CPNE8 (144402)	CPNE8	144402
CPNE9 (151835)	CPNE9	151835
CPO (130749)	CPO	130749
CPOX (1371)	CPOX	1371
CPPED1 (55313)	CPPED1	55313
CPQ (10404)	CPQ	10404
CPS1 (1373)	CPS1	1373
CPSF1 (29894)	CPSF1	29894
CPSF2 (53981)	CPSF2	53981
CPSF3 (51692)	CPSF3	51692
CPSF4 (10898)	CPSF4	10898
CPSF4L (642843)	CPSF4L	642843
CPSF6 (11052)	CPSF6	11052
CPSF7 (79869)	CPSF7	79869
CPT1A (1374)	CPT1A	1374
CPT1B (1375)	CPT1B	1375
CPT1C (126129)	CPT1C	126129
CPT2 (1376)	CPT2	1376
CPTP (80772)	CPTP	80772
CPVL (54504)	CPVL	54504
CPXCR1 (53336)	CPXCR1	53336
CPXM1 (56265)	CPXM1	56265
CPXM2 (119587)	CPXM2	119587
CPZ (8532)	CPZ	8532
CR1L (1379)	CR1L	1379
CR2 (1380)	CR2	1380
CRABP1 (1381)	CRABP1	1381
CRABP2 (1382)	CRABP2	1382
CRACD (57482)	CRACD	57482
CRACDL (343990)	CRACDL	343990
CRACR2A (84766)	CRACR2A	84766
CRACR2B (283229)	CRACR2B	283229
CRADD (8738)	CRADD	8738
CRAMP1 (57585)	CRAMP1	57585
CRAT (1384)	CRAT	1384
CRB1 (23418)	CRB1	23418
CRB2 (286204)	CRB2	286204
CRB3 (92359)	CRB3	92359
CRBN (51185)	CRBN	51185
CRCP (27297)	CRCP	27297
CRCT1 (54544)	CRCT1	54544
CREB1 (1385)	CREB1	1385
CREB3 (10488)	CREB3	10488
CREB3L1 (90993)	CREB3L1	90993
CREB3L2 (64764)	CREB3L2	64764
CREB3L3 (84699)	CREB3L3	84699
CREB3L4 (148327)	CREB3L4	148327
CREB5 (9586)	CREB5	9586
CREBBP (1387)	CREBBP	1387
CREBL2 (1389)	CREBL2	1389
CREBRF (153222)	CREBRF	153222
CREBZF (58487)	CREBZF	58487
CREG1 (8804)	CREG1	8804
CREG2 (200407)	CREG2	200407
CRELD1 (78987)	CRELD1	78987
CRELD2 (79174)	CRELD2	79174
CRH (1392)	CRH	1392
CRHBP (1393)	CRHBP	1393
CRHR1 (1394)	CRHR1	1394
CRHR2 (1395)	CRHR2	1395
CRIM1 (51232)	CRIM1	51232
CRIP1 (1396)	CRIP1	1396
CRIP2 (1397)	CRIP2	1397
CRIP3 (401262)	CRIP3	401262
CRIPAK (285464)	CRIPAK	285464
CRIPT (9419)	CRIPT	9419
CRISP1 (167)	CRISP1	167
CRISP2 (7180)	CRISP2	7180
CRISP3 (10321)	CRISP3	10321
CRISPLD1 (83690)	CRISPLD1	83690
CRISPLD2 (83716)	CRISPLD2	83716
CRK (1398)	CRK	1398
CRKL (1399)	CRKL	1399
CRLF1 (9244)	CRLF1	9244
CRLF3 (51379)	CRLF3	51379
CRLS1 (54675)	CRLS1	54675
CRMP1 (1400)	CRMP1	1400
CRNKL1 (51340)	CRNKL1	51340
CRNN (49860)	CRNN	49860
CROCC (9696)	CROCC	9696
CROT (54677)	CROT	54677
CRP (1401)	CRP	1401
CRTAC1 (55118)	CRTAC1	55118
CRTAM (56253)	CRTAM	56253
CRTAP (10491)	CRTAP	10491
CRTC1 (23373)	CRTC1	23373
CRTC2 (200186)	CRTC2	200186
CRTC3 (64784)	CRTC3	64784
CRX (1406)	CRX	1406
CRY1 (1407)	CRY1	1407
CRY2 (1408)	CRY2	1408
CRYAB (1410)	CRYAB	1410
CRYBA1 (1411)	CRYBA1	1411
CRYBA2 (1412)	CRYBA2	1412
CRYBA4 (1413)	CRYBA4	1413
CRYBB1 (1414)	CRYBB1	1414
CRYBB2 (1415)	CRYBB2	1415
CRYBB3 (1417)	CRYBB3	1417
CRYBG1 (202)	CRYBG1	202
CRYGA (1418)	CRYGA	1418
CRYGB (1419)	CRYGB	1419
CRYGC (1420)	CRYGC	1420
CRYGD (1421)	CRYGD	1421
CRYGN (155051)	CRYGN	155051
CRYGS (1427)	CRYGS	1427
CRYL1 (51084)	CRYL1	51084
CRYM (1428)	CRYM	1428
CRYZ (1429)	CRYZ	1429
CRYZL1 (9946)	CRYZL1	9946
CS (1431)	CS	1431
CSAD (51380)	CSAD	51380
CSAG1 (158511)	CSAG1	158511
CSDC2 (27254)	CSDC2	27254
CSDE1 (7812)	CSDE1	7812
CSE1L (1434)	CSE1L	1434
CSF1 (1435)	CSF1	1435
CSF1R (1436)	CSF1R	1436
CSF2 (1437)	CSF2	1437
CSF2RA (1438)	CSF2RA	1438
CSF2RB (1439)	CSF2RB	1439
CSF3 (1440)	CSF3	1440
CSF3R (1441)	CSF3R	1441
CSGALNACT1 (55790)	CSGALNACT1	55790
CSGALNACT2 (55454)	CSGALNACT2	55454
CSHL1 (1444)	CSHL1	1444
CSK (1445)	CSK	1445
CSKMT (751071)	CSKMT	751071
CSMD1 (64478)	CSMD1	64478
CSMD2 (114784)	CSMD2	114784
CSMD3 (114788)	CSMD3	114788
CSN1S1 (1446)	CSN1S1	1446
CSN2 (1447)	CSN2	1447
CSN3 (1448)	CSN3	1448
CSNK1A1 (1452)	CSNK1A1	1452
CSNK1A1L (122011)	CSNK1A1L	122011
CSNK1D (1453)	CSNK1D	1453
CSNK1E (1454)	CSNK1E	1454
CSNK1G1 (53944)	CSNK1G1	53944
CSNK1G2 (1455)	CSNK1G2	1455
CSNK1G3 (1456)	CSNK1G3	1456
CSNK2A1 (1457)	CSNK2A1	1457
CSNK2A2 (1459)	CSNK2A2	1459
CSNK2B (1460)	CSNK2B	1460
CSPG4 (1464)	CSPG4	1464
CSPG5 (10675)	CSPG5	10675
CSPP1 (79848)	CSPP1	79848
CSRNP1 (64651)	CSRNP1	64651
CSRNP2 (81566)	CSRNP2	81566
CSRNP3 (80034)	CSRNP3	80034
CSRP1 (1465)	CSRP1	1465
CSRP2 (1466)	CSRP2	1466
CSRP3 (8048)	CSRP3	8048
CST1 (1469)	CST1	1469
CST11 (140880)	CST11	140880
CST2 (1470)	CST2	1470
CST3 (1471)	CST3	1471
CST4 (1472)	CST4	1472
CST5 (1473)	CST5	1473
CST6 (1474)	CST6	1474
CST7 (8530)	CST7	8530
CST8 (10047)	CST8	10047
CST9 (128822)	CST9	128822
CST9L (128821)	CST9L	128821
CSTA (1475)	CSTA	1475
CSTB (1476)	CSTB	1476
CSTF1 (1477)	CSTF1	1477
CSTF2 (1478)	CSTF2	1478
CSTF2T (23283)	CSTF2T	23283
CSTF3 (1479)	CSTF3	1479
CSTL1 (128817)	CSTL1	128817
CT47B1 (643311)	CT47B1	643311
CT55 (54967)	CT55	54967
CT62 (196993)	CT62	196993
CT83 (203413)	CT83	203413
CTAG2 (30848)	CTAG2	30848
CTAGE1 (64693)	CTAGE1	64693
CTBP1 (1487)	CTBP1	1487
CTBP2 (1488)	CTBP2	1488
CTBS (1486)	CTBS	1486
CTC1 (80169)	CTC1	80169
CTCF (10664)	CTCF	10664
CTCFL (140690)	CTCFL	140690
CTDNEP1 (23399)	CTDNEP1	23399
CTDP1 (9150)	CTDP1	9150
CTDSP1 (58190)	CTDSP1	58190
CTDSP2 (10106)	CTDSP2	10106
CTDSPL (10217)	CTDSPL	10217
CTDSPL2 (51496)	CTDSPL2	51496
CTF1 (1489)	CTF1	1489
CTH (1491)	CTH	1491
CTHRC1 (115908)	CTHRC1	115908
CTIF (9811)	CTIF	9811
CTLA4 (1493)	CTLA4	1493
CTNNA1 (1495)	CTNNA1	1495
CTNNA2 (1496)	CTNNA2	1496
CTNNA3 (29119)	CTNNA3	29119
CTNNAL1 (8727)	CTNNAL1	8727
CTNNB1 (1499)	CTNNB1	1499
CTNNBIP1 (56998)	CTNNBIP1	56998
CTNNBL1 (56259)	CTNNBL1	56259
CTNND1 (1500)	CTNND1	1500
CTNND2 (1501)	CTNND2	1501
CTNS (1497)	CTNS	1497
CTPS1 (1503)	CTPS1	1503
CTPS2 (56474)	CTPS2	56474
CTR9 (9646)	CTR9	9646
CTRC (11330)	CTRC	11330
CTRL (1506)	CTRL	1506
CTSA (5476)	CTSA	5476
CTSB (1508)	CTSB	1508
CTSC (1075)	CTSC	1075
CTSD (1509)	CTSD	1509
CTSE (1510)	CTSE	1510
CTSF (8722)	CTSF	8722
CTSG (1511)	CTSG	1511
CTSH (1512)	CTSH	1512
CTSK (1513)	CTSK	1513
CTSL (1514)	CTSL	1514
CTSO (1519)	CTSO	1519
CTSS (1520)	CTSS	1520
CTSV (1515)	CTSV	1515
CTSW (1521)	CTSW	1521
CTSZ (1522)	CTSZ	1522
CTTN (2017)	CTTN	2017
CTTNBP2 (83992)	CTTNBP2	83992
CTTNBP2NL (55917)	CTTNBP2NL	55917
CTU1 (90353)	CTU1	90353
CTU2 (348180)	CTU2	348180
CTXN1 (404217)	CTXN1	404217
CTXN2 (399697)	CTXN2	399697
CTXN3 (613212)	CTXN3	613212
CUBN (8029)	CUBN	8029
CUEDC1 (404093)	CUEDC1	404093
CUEDC2 (79004)	CUEDC2	79004
CUL1 (8454)	CUL1	8454
CUL2 (8453)	CUL2	8453
CUL3 (8452)	CUL3	8452
CUL4A (8451)	CUL4A	8451
CUL4B (8450)	CUL4B	8450
CUL5 (8065)	CUL5	8065
CUL7 (9820)	CUL7	9820
CUL9 (23113)	CUL9	23113
CUTA (51596)	CUTA	51596
CUTC (51076)	CUTC	51076
CUX1 (1523)	CUX1	1523
CUX2 (23316)	CUX2	23316
CUZD1 (50624)	CUZD1	50624
CWC22 (57703)	CWC22	57703
CWC25 (54883)	CWC25	54883
CWC27 (10283)	CWC27	10283
CWF19L1 (55280)	CWF19L1	55280
CWF19L2 (143884)	CWF19L2	143884
CWH43 (80157)	CWH43	80157
CX3CL1 (6376)	CX3CL1	6376
CX3CR1 (1524)	CX3CR1	1524
CXADR (1525)	CXADR	1525
CXCL1 (2919)	CXCL1	2919
CXCL10 (3627)	CXCL10	3627
CXCL11 (6373)	CXCL11	6373
CXCL12 (6387)	CXCL12	6387
CXCL13 (10563)	CXCL13	10563
CXCL14 (9547)	CXCL14	9547
CXCL16 (58191)	CXCL16	58191
CXCL17 (284340)	CXCL17	284340
CXCL2 (2920)	CXCL2	2920
CXCL3 (2921)	CXCL3	2921
CXCL5 (6374)	CXCL5	6374
CXCL6 (6372)	CXCL6	6372
CXCL8 (3576)	CXCL8	3576
CXCL9 (4283)	CXCL9	4283
CXCR1 (3577)	CXCR1	3577
CXCR2 (3579)	CXCR2	3579
CXCR3 (2833)	CXCR3	2833
CXCR4 (7852)	CXCR4	7852
CXCR5 (643)	CXCR5	643
CXCR6 (10663)	CXCR6	10663
CXXC1 (30827)	CXXC1	30827
CXXC4 (80319)	CXXC4	80319
CXXC5 (51523)	CXXC5	51523
CXorf38 (159013)	CXorf38	159013
CXorf58 (254158)	CXorf58	254158
CXorf65 (158830)	CXorf65	158830
CXorf66 (347487)	CXorf66	347487
CYB561 (1534)	CYB561	1534
CYB561A3 (220002)	CYB561A3	220002
CYB561D1 (284613)	CYB561D1	284613
CYB561D2 (11068)	CYB561D2	11068
