depmap_column_name	gene_symbol	ncbi_entrez_id
ACOX1 (51)	ACOX1	51
ACOX2 (8309)	ACOX2	8309
ACOX3 (8310)	ACOX3	8310
ACOXL (55289)	ACOXL	55289
ACP1 (52)	ACP1	52
ACP2 (53)	ACP2	53
ACP3 (55)	ACP3	55
ACP4 (93650)	ACP4	93650
ACP5 (54)	ACP5	54
ACP6 (51205)	ACP6	51205
ACP7 (390928)	ACP7	390928
ACR (49)	ACR	49
ACRBP (84519)	ACRBP	84519
ACRV1 (56)	ACRV1	56
ACSBG1 (23205)	ACSBG1	23205
ACSBG2 (81616)	ACSBG2	81616
ACSF2 (80221)	ACSF2	80221
ACSF3 (197322)	ACSF3	197322
ACSL1 (2180)	ACSL1	2180
ACSL3 (2181)	ACSL3	2181
ACSL4 (2182)	ACSL4	2182
ACSL5 (51703)	ACSL5	51703
ACSL6 (23305)	ACSL6	23305
ACSM1 (116285)	ACSM1	116285
ACSM2A (123876)	ACSM2A	123876
ACSM3 (6296)	ACSM3	6296
ACSM4 (341392)	ACSM4	341392
ACSM5 (54988)	ACSM5	54988
ACSM6 (142827)	ACSM6	142827
ACSS1 (84532)	ACSS1	84532
ACSS2 (55902)	ACSS2	55902
ACSS3 (79611)	ACSS3	79611
ACTA1 (58)	ACTA1	58
ACTA2 (59)	ACTA2	59
ACTB (60)	ACTB	60
ACTBL2 (345651)	ACTBL2	345651
ACTC1 (70)	ACTC1	70
ACTG1 (71)	ACTG1	71
ACTG2 (72)	ACTG2	72
ACTL10 (170487)	ACTL10	170487
ACTL6A (86)	ACTL6A	86
ACTL6B (51412)	ACTL6B	51412
ACTL7A (10881)	ACTL7A	10881
ACTL7B (10880)	ACTL7B	10880
ACTL8 (81569)	ACTL8	81569
ACTL9 (284382)	ACTL9	284382
ACTN1 (87)	ACTN1	87
ACTN2 (88)	ACTN2	88
ACTN4 (81)	ACTN4	81
ACTR10 (55860)	ACTR10	55860
ACTR1A (10121)	ACTR1A	10121
ACTR1B (10120)	ACTR1B	10120
ACTR2 (10097)	ACTR2	10097
ACTR3 (10096)	ACTR3	10096
ACTR3B (57180)	ACTR3B	57180
ACTR5 (79913)	ACTR5	79913
ACTR6 (64431)	ACTR6	64431
ACTR8 (93973)	ACTR8	93973
ACTRT1 (139741)	ACTRT1	139741
ACTRT2 (140625)	ACTRT2	140625
ACTRT3 (84517)	ACTRT3	84517
ACVR1 (90)	ACVR1	90
ACVR1B (91)	ACVR1B	91
ACVR1C (130399)	ACVR1C	130399
ACVR2A (92)	ACVR2A	92
ACVR2B (93)	ACVR2B	93
ACVRL1 (94)	ACVRL1	94
ACY1 (95)	ACY1	95
ACY3 (91703)	ACY3	91703
ACYP1 (97)	ACYP1	97
ACYP2 (98)	ACYP2	98
ADA (100)	ADA	100
ADA2 (51816)	ADA2	51816
ADAD1 (132612)	ADAD1	132612
ADAD2 (161931)	ADAD2	161931
ADAL (161823)	ADAL	161823
ADAM10 (102)	ADAM10	102
ADAM11 (4185)	ADAM11	4185
ADAM12 (8038)	ADAM12	8038
ADAM15 (8751)	ADAM15	8751
ADAM17 (6868)	ADAM17	6868
ADAM18 (8749)	ADAM18	8749
ADAM19 (8728)	ADAM19	8728
ADAM2 (2515)	ADAM2	2515
ADAM20 (8748)	ADAM20	8748
ADAM21 (8747)	ADAM21	8747
ADAM22 (53616)	ADAM22	53616
ADAM23 (8745)	ADAM23	8745
ADAM28 (10863)	ADAM28	10863
ADAM29 (11086)	ADAM29	11086
ADAM30 (11085)	ADAM30	11085
ADAM32 (203102)	ADAM32	203102
ADAM33 (80332)	ADAM33	80332
ADAM7 (8756)	ADAM7	8756
ADAM8 (101)	ADAM8	101
ADAM9 (8754)	ADAM9	8754
ADAMDEC1 (27299)	ADAMDEC1	27299
ADAMTS1 (9510)	ADAMTS1	9510
ADAMTS10 (81794)	ADAMTS10	81794
ADAMTS12 (81792)	ADAMTS12	81792
ADAMTS13 (11093)	ADAMTS13	11093
ADAMTS14 (140766)	ADAMTS14	140766
ADAMTS15 (170689)	ADAMTS15	170689
ADAMTS16 (170690)	ADAMTS16	170690
ADAMTS17 (170691)	ADAMTS17	170691
ADAMTS18 (170692)	ADAMTS18	170692
ADAMTS19 (171019)	ADAMTS19	171019
ADAMTS2 (9509)	ADAMTS2	9509
ADAMTS20 (80070)	ADAMTS20	80070
ADAMTS3 (9508)	ADAMTS3	9508
ADAMTS4 (9507)	ADAMTS4	9507
ADAMTS5 (11096)	ADAMTS5	11096
ADAMTS6 (11174)	ADAMTS6	11174
ADAMTS7 (11173)	ADAMTS7	11173
ADAMTS8 (11095)	ADAMTS8	11095
ADAMTS9 (56999)	ADAMTS9	56999
ADAMTSL1 (92949)	ADAMTSL1	92949
ADAMTSL2 (9719)	ADAMTSL2	9719
ADAMTSL3 (57188)	ADAMTSL3	57188
ADAMTSL4 (54507)	ADAMTSL4	54507
ADAMTSL5 (339366)	ADAMTSL5	339366
ADAP1 (11033)	ADAP1	11033
ADAP2 (55803)	ADAP2	55803
ADAR (103)	ADAR	103
ADARB1 (104)	ADARB1	104
ADARB2 (105)	ADARB2	105
ADAT1 (23536)	ADAT1	23536
ADAT2 (134637)	ADAT2	134637
ADAT3 (113179)	ADAT3	113179
ADCK1 (57143)	ADCK1	57143
ADCK2 (90956)	ADCK2	90956
ADCK5 (203054)	ADCK5	203054
ADCY1 (107)	ADCY1	107
ADCY10 (55811)	ADCY10	55811
ADCY2 (108)	ADCY2	108
ADCY3 (109)	ADCY3	109
ADCY4 (196883)	ADCY4	196883
ADCY5 (111)	ADCY5	111
ADCY6 (112)	ADCY6	112
ADCY7 (113)	ADCY7	113
ADCY8 (114)	ADCY8	114
ADCY9 (115)	ADCY9	115
ADCYAP1 (116)	ADCYAP1	116
ADCYAP1R1 (117)	ADCYAP1R1	117
ADD1 (118)	ADD1	118
ADD2 (119)	ADD2	119
ADD3 (120)	ADD3	120
ADGRA1 (84435)	ADGRA1	84435
ADGRA2 (25960)	ADGRA2	25960
ADGRA3 (166647)	ADGRA3	166647
ADGRB1 (575)	ADGRB1	575
ADGRB2 (576)	ADGRB2	576
ADGRB3 (577)	ADGRB3	577
ADGRD1 (283383)	ADGRD1	283383
ADGRE1 (2015)	ADGRE1	2015
ADGRE2 (30817)	ADGRE2	30817
ADGRE3 (84658)	ADGRE3	84658
ADGRE5 (976)	ADGRE5	976
ADGRF1 (266977)	ADGRF1	266977
ADGRF3 (165082)	ADGRF3	165082
ADGRF4 (221393)	ADGRF4	221393
ADGRF5 (221395)	ADGRF5	221395
ADGRG1 (9289)	ADGRG1	9289
ADGRG2 (10149)	ADGRG2	10149
ADGRG3 (222487)	ADGRG3	222487
ADGRG4 (139378)	ADGRG4	139378
ADGRG5 (221188)	ADGRG5	221188
ADGRG6 (57211)	ADGRG6	57211
ADGRG7 (84873)	ADGRG7	84873
ADGRL1 (22859)	ADGRL1	22859
ADGRL2 (23266)	ADGRL2	23266
ADGRL3 (23284)	ADGRL3	23284
ADGRL4 (64123)	ADGRL4	64123
ADGRV1 (84059)	ADGRV1	84059
ADH1A (124)	ADH1A	124
ADH1B (125)	ADH1B	125
ADH4 (127)	ADH4	127
ADH5 (128)	ADH5	128
ADH6 (130)	ADH6	130
ADH7 (131)	ADH7	131
ADHFE1 (137872)	ADHFE1	137872
ADI1 (55256)	ADI1	55256
ADIG (149685)	ADIG	149685
ADIPOQ (9370)	ADIPOQ	9370
ADIPOR1 (51094)	ADIPOR1	51094
ADIPOR2 (79602)	ADIPOR2	79602
ADIRF (10974)	ADIRF	10974
ADK (132)	ADK	132
ADM (133)	ADM	133
ADM2 (79924)	ADM2	79924
ADM5 (199800)	ADM5	199800
ADNP (23394)	ADNP	23394
ADNP2 (22850)	ADNP2	22850
ADO (84890)	ADO	84890
ADORA1 (134)	ADORA1	134
ADORA2A (135)	ADORA2A	135
ADORA2B (136)	ADORA2B	136
ADPGK (83440)	ADPGK	83440
ADPRH (141)	ADPRH	141
ADPRHL1 (113622)	ADPRHL1	113622
ADPRM (56985)	ADPRM	56985
ADPRS (54936)	ADPRS	54936
ADRA1A (148)	ADRA1A	148
ADRA1B (147)	ADRA1B	147
ADRA1D (146)	ADRA1D	146
ADRA2A (150)	ADRA2A	150
ADRA2B (151)	ADRA2B	151
ADRA2C (152)	ADRA2C	152
ADRB1 (153)	ADRB1	153
ADRB2 (154)	ADRB2	154
ADRB3 (155)	ADRB3	155
ADRM1 (11047)	ADRM1	11047
ADSL (158)	ADSL	158
ADSS1 (122622)	ADSS1	122622
ADSS2 (159)	ADSS2	159
ADTRP (84830)	ADTRP	84830
AEBP1 (165)	AEBP1	165
AEBP2 (121536)	AEBP2	121536
AEN (64782)	AEN	64782
AFAP1 (60312)	AFAP1	60312
AFAP1L1 (134265)	AFAP1L1	134265
AFAP1L2 (84632)	AFAP1L2	84632
AFDN (4301)	AFDN	4301
AFF1 (4299)	AFF1	4299
AFF2 (2334)	AFF2	2334
AFF3 (3899)	AFF3	3899
AFF4 (27125)	AFF4	27125
AFG1L (246269)	AFG1L	246269
AFG3L2 (10939)	AFG3L2	10939
AFM (173)	AFM	173
AFMID (125061)	AFMID	125061
AFP (174)	AFP	174
AFTPH (54812)	AFTPH	54812
AGA (175)	AGA	175
AGAP1 (116987)	AGAP1	116987
AGAP2 (116986)	AGAP2	116986
AGAP3 (116988)	AGAP3	116988
AGAP6 (414189)	AGAP6	414189
AGBL1 (123624)	AGBL1	123624
AGBL2 (79841)	AGBL2	79841
AGBL3 (340351)	AGBL3	340351
AGBL4 (84871)	AGBL4	84871
AGBL5 (60509)	AGBL5	60509
AGER (177)	AGER	177
AGFG1 (3267)	AGFG1	3267
AGFG2 (3268)	AGFG2	3268
AGGF1 (55109)	AGGF1	55109
AGK (55750)	AGK	55750
AGL (178)	AGL	178
AGMAT (79814)	AGMAT	79814
AGMO (392636)	AGMO	392636
AGO1 (26523)	AGO1	26523
AGO2 (27161)	AGO2	27161
AGO3 (192669)	AGO3	192669
AGO4 (192670)	AGO4	192670
AGPAT1 (10554)	AGPAT1	10554
AGPAT2 (10555)	AGPAT2	10555
AGPAT3 (56894)	AGPAT3	56894
AGPAT4 (56895)	AGPAT4	56895
AGPAT5 (55326)	AGPAT5	55326
AGPS (8540)	AGPS	8540
AGR2 (10551)	AGR2	10551
AGR3 (155465)	AGR3	155465
AGRN (375790)	AGRN	375790
AGRP (181)	AGRP	181
AGT (183)	AGT	183
AGTPBP1 (23287)	AGTPBP1	23287
AGTR1 (185)	AGTR1	185
AGTR2 (186)	AGTR2	186
AGTRAP (57085)	AGTRAP	57085
AGXT (189)	AGXT	189
AGXT2 (64902)	AGXT2	64902
AHCTF1 (25909)	AHCTF1	25909
AHCY (191)	AHCY	191
AHCYL1 (10768)	AHCYL1	10768
AHCYL2 (23382)	AHCYL2	23382
AHDC1 (27245)	AHDC1	27245
AHI1 (54806)	AHI1	54806
AHNAK (79026)	AHNAK	79026
AHNAK2 (113146)	AHNAK2	113146
AHR (196)	AHR	196
AHRR (57491)	AHRR	57491
AHSA1 (10598)	AHSA1	10598
AHSG (197)	AHSG	197
AHSP (51327)	AHSP	51327
AICDA (57379)	AICDA	57379
AIDA (64853)	AIDA	64853
AIF1 (199)	AIF1	199
AIF1L (83543)	AIF1L	83543
AIFM1 (9131)	AIFM1	9131
AIFM2 (84883)	AIFM2	84883
AIFM3 (150209)	AIFM3	150209
AIG1 (51390)	AIG1	51390
AIM2 (9447)	AIM2	9447
AIMP1 (9255)	AIMP1	9255
AIMP2 (7965)	AIMP2	7965
AIP (9049)	AIP	9049
AIPL1 (23746)	AIPL1	23746
AIRE (326)	AIRE	326
AJAP1 (55966)	AJAP1	55966
AJM1 (389813)	AJM1	389813
AJUBA (84962)	AJUBA	84962
AK1 (203)	AK1	203
AK2 (204)	AK2	204
AK3 (50808)	AK3	50808
AK4 (205)	AK4	205
AK5 (26289)	AK5	26289
AK6 (102157402)	AK6	102157402
AK7 (122481)	AK7	122481
AK8 (158067)	AK8	158067
AK9 (221264)	AK9	221264
AKAIN1 (642597)	AKAIN1	642597
AKAP1 (8165)	AKAP1	8165
AKAP10 (11216)	AKAP10	11216
AKAP11 (11215)	AKAP11	11215
AKAP12 (9590)	AKAP12	9590
AKAP13 (11214)	AKAP13	11214
AKAP14 (158798)	AKAP14	158798
AKAP17A (8227)	AKAP17A	8227
AKAP3 (10566)	AKAP3	10566
AKAP4 (8852)	AKAP4	8852
AKAP5 (9495)	AKAP5	9495
AKAP6 (9472)	AKAP6	9472
AKAP7 (9465)	AKAP7	9465
AKAP8 (10270)	AKAP8	10270
AKAP8L (26993)	AKAP8L	26993
AKAP9 (10142)	AKAP9	10142
AKIP1 (56672)	AKIP1	56672
